Pheno	ID	REF	ALT	A1	FIRTH.	TEST	OBS_CT	nCases	OR	LOG.OR._SE	L95	U95	Z_STAT	P	ERRCODE	mlog10P	FDR_BY
CD2_BENIGN_SKIN	KIR_2DS3	P	A	P	N	ADD	336732	11485	1.03481	0.0235064	0.988215	1.0836	1.45565	0.14549	.	0.83716685612184	1
AB1_OTHER_BACTERIAL	KIR_2DL2	P	A	P	N	ADD	336732	41802	1.01611	0.0109849	0.994471	1.03823	1.45528	0.145592	.	0.836862488012735	1
CD2_BENIGN_LIPO_NOS	KIR_2DL1	P	A	P	N	ADD	336732	2329	1.31102	0.186088	0.910353	1.88802	1.45524	0.145602	.	0.836832659480411	1
CD2_BENIGN_TONGUE	KIR_2DL3	P	A	P	Y	ADD	336732	646	1.3101	0.185616	0.91056	1.88496	1.45518	0.145619	.	0.836781955676766	1
P16_DISORD_RELATED_LENGTH_GESTATION_FETAL_GROWTH	KIR_2DP1	P	A	P	Y	ADD	336732	682	1.73	0.376726	0.826756	3.62007	1.45497	0.145678	.	0.836606029561614	1
H8_OTHEREAR	KIR_2DS4	P	A	P	N	ADD	336732	42267	1.03265	0.0220804	0.98891	1.07832	1.45492	0.145691	.	0.836567275759607	1
H8_OTHEREAR	KIR_3DL1	P	A	P	N	ADD	336732	42267	1.03264	0.0220786	0.988909	1.07831	1.45482	0.145718	.	0.836486798141929	1
CD2_INSITU_SKIN_FACE	KIR_2DS1	P	A	P	Y	ADD	336732	1814	1.07399	0.0490827	0.975484	1.18244	1.45425	0.145878	.	0.836010199532358	1
C3_SECONDARY_RESPIRATORY_DIGESTIVE	KIR_2DS5	P	A	P	N	ADD	336732	228	0.801965	0.15177	0.595619	1.0798	-1.45411	0.145915	.	0.835900060523427	1
E4_MALNUTRITION	C1_2DL2	P	A	P	Y	ADD	336732	469	0.724522	0.221616	0.469257	1.11864	-1.45406	0.14593	.	0.835855417529822	1
CD2_BENIGN_LIPO_SKIN_LIMBS	KIR_2DL5	P	A	P	Y	ADD	336732	2004	1.07356	0.0488347	0.975571	1.1814	1.45351	0.146081	.	0.835406266829249	1
CD2_BENIGN_PAROTID	KIR_2DP1	P	A	P	N	ADD	336732	2072	1.33577	0.199311	0.903813	1.97418	1.45255	0.146348	.	0.834613208282453	1
K11_MN_RETRGN_AND_SURG	KIR_2DL3	P	A	P	Y	ADD	336732	673	1.30552	0.183726	0.910745	1.87143	1.4511	0.146753	.	0.833413011919336	1
CD2_BENIGN_CONNSOFT_HEADFACETRUNK	KIR_3DS1	P	A	P	Y	ADD	336732	420	1.16109	0.102935	0.948958	1.42064	1.451	0.146781	.	0.833330157834084	1
R18_ABNORMAL_FINDI_EXAMI_BLOOD_WO_DIAGNOSIS	KIR_2DS1	P	A	P	N	ADD	336732	14510	0.974278	0.017959	0.940581	1.00918	-1.45099	0.146784	.	0.833321281548112	1
K11_PARODON	KIR_3DS1	P	A	P	N	ADD	336732	32398	1.01869	0.0127636	0.993519	1.04449	1.45053	0.146911	.	0.832945685078035	1
K11_APHTA_RECUR	KIR_2DL1	P	A	P	N	ADD	336732	1185	0.742313	0.205435	0.496272	1.11033	-1.4505	0.146918	.	0.832924992352852	1
I9_ISCHHEART	KIR_2DP1	P	A	P	N	ADD	336732	56903	1.06136	0.0410766	0.979256	1.15034	1.44965	0.147157	.	0.832219074447367	1
K11_ORAL_LEUCOPLACIA_INCLAVO	KIR_2DL5	P	A	P	Y	ADD	336732	641	1.13125	0.0851064	0.957448	1.3366	1.44902	0.147331	.	0.831705863391943	1
K11_ORAL_LEUCOPLAC_RELAT_INCLAVO	Bw4_3DL1	P	A	P	N	ADD	336732	2264	0.770176	0.180273	0.54093	1.09658	-1.44856	0.147462	.	0.831319880136748	1
RX_L01XX	KIR_2DP1	P	A	P	Y	ADD	336732	1286	0.756791	0.192476	0.518968	1.1036	-1.44781	0.147671	.	0.830704784150257	1
CD2_BENIGN_BONE_SKULL_FACE	KIR_2DL3	P	A	P	Y	ADD	336732	222	1.63197	0.338312	0.840891	3.16725	1.44774	0.147691	.	0.830645968936036	1
F5_PERSOBEH	KIR_2DL1	P	A	P	N	ADD	336732	10325	0.895544	0.0762292	0.771259	1.03986	-1.44727	0.147822	.	0.830260926106407	1
K11_DEEP_BITE	KIR_2DL5	P	A	P	Y	ADD	336732	3341	0.946297	0.0381591	0.878105	1.01978	-1.44655	0.148024	.	0.829667864182452	1
P16_RESPI_CARDIOV_DISORD_SPECIFIC_PERINA_PERIOD	KIR_2DL1	P	A	P	Y	ADD	336732	651	1.76286	0.391998	0.817615	3.80091	1.44628	0.148099	.	0.829447873929488	1
CD2_BENIGN_MELANOCYTIC_TRUNK	KIR_2DL5	P	A	P	Y	ADD	336732	3217	1.05749	0.0386539	0.980337	1.14072	1.44621	0.148118	.	0.829392160751868	1
K11_OTHDIG	KIR_2DL2	P	A	P	N	ADD	336732	15138	1.02528	0.0172742	0.99115	1.06059	1.44537	0.148354	.	0.828700739508865	1
CIRRHOSIS_BROAD	KIR_2DS3	P	A	P	N	ADD	336732	3733	1.06033	0.0405386	0.97934	1.14801	1.44499	0.14846	.	0.828390543783334	1
C3_SMALL_INTESTINE_NEUROENDOCRINE	KIR_2DL1	P	A	P	Y	ADD	336732	324	2.55571	0.649627	0.715398	9.13009	1.44441	0.148623	.	0.827913976577175	1
K11_IBD	KIR_2DL2	P	A	P	N	ADD	336732	10810	1.02951	0.0201429	0.989657	1.07097	1.4438	0.148796	.	0.827408743529906	1
CD2_BENIGN_DUODENUM	KIR_2DL5	P	A	P	Y	ADD	336732	595	1.1394	0.0904036	0.954383	1.36027	1.4435	0.148879	.	0.827166556964477	1
C3_NSCLC_SQUAM	KIR_2DS5	P	A	P	Y	ADD	336732	1422	1.0901	0.0597762	0.969583	1.2256	1.44321	0.14896	.	0.826930336362733	1
HLP_C3_NSCLC_SQUAM	KIR_2DS5	P	A	P	Y	ADD	336732	1422	1.0901	0.0597762	0.969583	1.2256	1.44321	0.14896	.	0.826930336362733	1
G6_EPIPAROX	KIR_2DL1	P	A	P	N	ADD	336732	85397	1.04633	0.0313851	0.983906	1.11271	1.443	0.149019	.	0.826758355285092	1
C3_MELANOMA	KIR_3DS1	P	A	P	N	ADD	336732	3943	1.05106	0.0345266	0.982289	1.12465	1.4424	0.149189	.	0.826263197073901	1
K11_APHTA_RECUR	KIR_3DS1	P	A	P	N	ADD	336732	1185	0.910674	0.0649049	0.801892	1.03421	-1.44165	0.149401	.	0.825646495606106	1
K11_PULPITIS_4	KIR_2DS3	P	A	P	N	ADD	336732	89175	1.0141	0.0097097	0.994979	1.03358	1.44151	0.149442	.	0.825527328860559	1
C3_AML	C1_2DL2	P	A	P	Y	ADD	336732	279	1.54721	0.302875	0.854556	2.80128	1.44103	0.149578	.	0.825132278003683	1
CARDIOVERSION	KIR_3DL1	P	A	P	N	ADD	336732	10376	0.944308	0.0397672	0.873502	1.02085	-1.44095	0.149597	.	0.825077115672825	1
C3_GBM_ASTROCYTOMA	KIR_2DS4	P	A	P	Y	ADD	336732	413	0.773911	0.177882	0.546106	1.09674	-1.44083	0.149632	.	0.824975519190292	1
H8_CHRON_SUPOTITIS_INCLAVO	KIR_2DS2	P	A	P	N	ADD	336732	2200	1.0658	0.0442326	0.977294	1.16232	1.44071	0.149668	.	0.824871044740416	1
K11_PULPITIS_1	KIR_2DS3	P	A	P	N	ADD	336732	89097	1.01409	0.00971264	0.994968	1.03358	1.44058	0.149702	.	0.824772397498219	1
K11_CLEFT_SYNDR	KIR_2DS2	P	A	P	N	ADD	336732	847	1.10789	0.0711343	0.963709	1.27364	1.4403	0.149783	.	0.824537475188975	1
CARDIOVERSION	KIR_2DS4	P	A	P	N	ADD	336732	10376	0.944335	0.0397712	0.87352	1.02089	-1.44009	0.149842	.	0.824366438895185	1
CD2_BENIGN_SALIVARY_NOS	KIR_2DP1	P	A	P	N	ADD	336732	679	1.75432	0.390333	0.816314	3.77017	1.44001	0.149865	.	0.824299781972902	1
I9_RHEUFEV	KIR_3DS1	P	A	P	N	ADD	336732	826	1.11284	0.0742515	0.962123	1.28717	1.43994	0.149885	.	0.824241827746707	1
MSMED_FINGOLIMOD	Bw4_3DL1	P	A	P	Y	ADD	336732	237	0.514433	0.461695	0.208129	1.27152	-1.43968	0.149959	.	0.824027464328974	1
DRUGADVERS_CATAR	KIR_3DS1	P	A	P	Y	ADD	336732	559	0.872453	0.0947876	0.724534	1.05057	-1.43949	0.150011	.	0.823876893850025	1
ALCO_PRESCRIPTION	KIR_2DS2	P	A	P	Y	ADD	336732	2535	1.06063	0.0409003	0.978928	1.14916	1.43925	0.150079	.	0.823680072727863	1
Q17_EHLER_SYNDR	KIR_2DL5	P	A	P	Y	ADD	336732	237	1.22033	0.138432	0.930349	1.60071	1.43844	0.15031	.	0.823012125199189	1
K11_RETROG_MAXILLAE	KIR_2DL3	P	A	P	Y	ADD	336732	471	1.37579	0.221836	0.890684	2.12509	1.43811	0.150402	.	0.822746388590197	1
CD2_BENIGN_SMALL_INTESTINE_OTH	KIR_2DL3	P	A	P	Y	ADD	336732	370	1.45985	0.263101	0.871676	2.44489	1.43797	0.150442	.	0.822630901630985	1
J10_PNEUMOPROBBAC	KIR_2DS5	P	A	P	N	ADD	336732	52011	1.01583	0.0109252	0.99431	1.03782	1.4377	0.150518	.	0.822411560978897	1
C3_GASTRINT_STROM	C1_2DL2	P	A	P	Y	ADD	336732	267	1.53054	0.296044	0.856745	2.73424	1.43769	0.150521	.	0.822402905067565	1
CD2_INSITU_SKIN_SCALPNECK	KIR_2DL1	P	A	P	Y	ADD	336732	470	0.658007	0.291124	0.371899	1.16422	-1.43767	0.150527	.	0.822385593762446	1
PDMED_LEVODOPA_DECARBOX_COMTINHIBITOR	KIR_2DS5	P	A	P	N	ADD	336732	667	0.881902	0.0874264	0.743024	1.04674	-1.43749	0.15058	.	0.822232707195354	1
L12_DERMATITISECZEMA	KIR_2DL2	P	A	P	N	ADD	336732	46231	0.985156	0.0104047	0.965269	1.00545	-1.43738	0.15061	.	0.8221461914777	1
C3_UNCERTAIN_SECONDARY	KIR_3DS1	P	A	P	N	ADD	336732	3491	0.948162	0.0370338	0.881778	1.01954	-1.43735	0.15062	.	0.822117356734675	1
C3_RESPIRATORY_INTRATHORACIC	KIR_2DS3	P	A	P	N	ADD	336732	6838	0.956361	0.0310494	0.899896	1.01637	-1.43706	0.1507	.	0.821886747685368	1
C3_GBM_ASTROCYTOMA	KIR_3DL1	P	A	P	Y	ADD	336732	413	0.774422	0.177913	0.546434	1.09753	-1.43688	0.150753	.	0.82173403659755	1
CD2_BENIGN_COLON_NOS	KIR_2DS1	P	A	P	N	ADD	336732	6527	1.03863	0.0263826	0.986293	1.09375	1.43683	0.150767	.	0.821693706783601	1
AB1_HELMINTIASES	KIR_2DL2	P	A	P	Y	ADD	336732	431	1.14864	0.0964549	0.95078	1.38767	1.43669	0.150807	.	0.821578499375946	1
I9_IHD	KIR_2DS1	P	A	P	N	ADD	336732	56766	1.01562	0.0107894	0.99437	1.03733	1.43669	0.150807	.	0.821578499375946	1
CD2_BENIGN_PAROTID	KIR_2DL1	P	A	P	N	ADD	336732	2072	1.3304	0.198734	0.901194	1.96401	1.43648	0.150866	.	0.821408624214702	1
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	KIR_2DS3	P	A	P	N	ADD	336732	1548	0.911209	0.0647499	0.802606	1.03451	-1.43604	0.150992	.	0.821046062295535	1
CD2_BENIGN_MELANOCYTIC_TRUNK	KIR_2DL3	P	A	P	Y	ADD	336732	3217	0.901488	0.0722431	0.782468	1.03861	-1.43555	0.151129	.	0.820652191309414	1
C3_THYROID_PAPILLARY_ADENO	KIR_3DS1	P	A	P	Y	ADD	336732	1366	1.08816	0.0588582	0.969596	1.22121	1.43538	0.151179	.	0.820508531702039	1
CD2_BENIGN_MOUTH_PHARYNX	KIR_2DL5	P	A	P	N	ADD	336732	2906	0.943931	0.0402012	0.872411	1.02132	-1.43532	0.151195	.	0.820462570662288	1
J10_COPDNAS_INCLAVO	KIR_2DL1	P	A	P	N	ADD	336732	19194	1.09311	0.062031	0.967976	1.23443	1.43526	0.151213	.	0.820410870305925	1
C3_TONGUE	KIR_2DP1	P	A	P	Y	ADD	336732	469	2.05672	0.50243	0.768255	5.50609	1.43525	0.151217	.	0.820399382173612	1
PDMED_CABERGOLINE	KIR_2DS1	P	A	P	Y	ADD	336732	305	1.17375	0.111641	0.943078	1.46085	1.43502	0.151282	.	0.820212742602848	1
R18_ABNORMAL_FINDI_DIAGNOST_IMAGI_FUNCTION_STUDI_WO_DIAGNOSIS	KIR_2DL1	P	A	P	N	ADD	336732	21351	1.08704	0.058167	0.969914	1.21831	1.43479	0.151348	.	0.820023313687936	1
K11_PARODON_OPER	KIR_2DS2	P	A	P	N	ADD	336732	32433	1.01766	0.0122029	0.993608	1.04229	1.4345	0.15143	.	0.819788077651059	1
VWXY20_VAPAA_TAPATURMAT	KIR_2DL2	P	A	P	N	ADD	336732	5125	0.958794	0.0293389	0.905215	1.01554	-1.43425	0.1515	.	0.819587367161676	1
VWXY20_CONTACT_W_MACHINERY	KIR_3DS1	P	A	P	Y	ADD	336732	2781	1.05987	0.0405465	0.978904	1.14754	1.43411	0.151542	.	0.819466985377259	1
K11_MN_PROGN	Bw4_3DL1	P	A	P	N	ADD	336732	392	0.47385	0.5211	0.17064	1.31584	-1.43325	0.151788	.	0.818762561377186	1
J10_COPDNAS_INCLAVO	KIR_2DP1	P	A	P	N	ADD	336732	19194	1.09279	0.06193	0.967878	1.23382	1.43277	0.151923	.	0.818376472240354	1
VWXY20_CONTACT_W_LIFTI_TRANSMIS_DEVICES_NOT_ELSEW_CLASSIFIED	KIR_2DS2	P	A	P	Y	ADD	336732	428	0.870262	0.0970189	0.719561	1.05253	-1.43231	0.152056	.	0.817996438292095	1
E4_GRAVES_OPHT_STRICT	KIR_3DL1	P	A	P	Y	ADD	336732	493	0.792425	0.162453	0.576339	1.08953	-1.43215	0.1521	.	0.817870785947002	1
MSMED_FINGOLIMOD	KIR_2DL3	P	A	P	Y	ADD	336732	237	0.719994	0.229385	0.459278	1.12871	-1.43215	0.152102	.	0.817865075340472	1
M13_OSTEOCHONDRO	KIR_2DP1	P	A	P	N	ADD	336732	18181	1.0934	0.0623514	0.967624	1.23553	1.43212	0.15211	.	0.817842233665219	1
CD2_BENIGN_EYE	KIR_2DS5	P	A	P	Y	ADD	336732	2494	0.9372	0.0453032	0.857571	1.02422	-1.43166	0.152241	.	0.817468372034124	1
CD2_BENIGN_CRANIAL_NERVE	KIR_2DL1	P	A	P	Y	ADD	336732	688	0.696624	0.252558	0.424639	1.14282	-1.43139	0.152318	.	0.817248771393072	1
AB1_VIRAL_HEPATITIS	C1_2DL2	P	A	P	Y	ADD	336732	2227	1.16522	0.106835	0.945081	1.43663	1.43126	0.152357	.	0.817137587443704	1
L12_DERMATITISECZEMA	KIR_2DS2	P	A	P	N	ADD	336732	46231	0.985265	0.010373	0.965436	1.0055	-1.43112	0.152396	.	0.817026431951311	1
I9_HEARTFAIL	KIR_2DS5	P	A	P	N	ADD	336732	24928	0.977722	0.015748	0.948005	1.00837	-1.43069	0.15252	.	0.816673203398367	1
VWXY20_CONTACT_W_OTHER_HOT_METALS	KIR_2DL5	P	A	P	Y	ADD	336732	367	0.850951	0.112852	0.682094	1.06161	-1.4302	0.152659	.	0.816277586811649	1
K11_LIVER	KIR_3DL1	P	A	P	N	ADD	336732	10426	1.06119	0.0415294	0.978232	1.15118	1.43001	0.152714	.	0.816121147330995	1
DRUGADVERS_CATAR	KIR_2DS1	P	A	P	Y	ADD	336732	559	0.876899	0.0918834	0.732383	1.04993	-1.42968	0.15281	.	0.815848224276604	1
K11_LIVER	KIR_2DS4	P	A	P	N	ADD	336732	10426	1.06116	0.0415322	0.9782	1.15115	1.42927	0.152928	.	0.8155129911593	1
VWXY20_FOREI_BODY_OBJECT_ENTERING_SKIN	KIR_2DS5	P	A	P	Y	ADD	336732	1655	1.08149	0.0548174	0.971317	1.20415	1.42907	0.152986	.	0.81534831036501	1
E4_GRAVES_OPHT_STRICT	KIR_2DS4	P	A	P	Y	ADD	336732	493	0.792826	0.162506	0.576571	1.09019	-1.42857	0.153128	.	0.814945389748157	1
VWXY20_UNSPE_PRIVA	KIR_3DS1	P	A	P	N	ADD	336732	2996	1.05863	0.0398996	0.978997	1.14474	1.42795	0.153305	.	0.814443680520719	1
G6_MYONEU	KIR_2DS5	P	A	P	Y	ADD	336732	3285	1.05756	0.0392041	0.979342	1.14203	1.42752	0.153431	.	0.814086884397683	1
KRA_PSY_CHILDOTH	Bw4_3DL1	P	A	P	Y	ADD	336732	1533	1.38074	0.226083	0.886481	2.15057	1.42699	0.153582	.	0.813659681171401	1
VWXY20_CONTACT_W_LIFTI_TRANSMIS_DEVICES_NOT_ELSEW_CLASSIFIED	KIR_2DL2	P	A	P	Y	ADD	336732	428	0.870352	0.0973225	0.719207	1.05326	-1.42678	0.153645	.	0.81348156822727	1
E4_NONTOXIC_THYROID	KIR_3DL1	P	A	P	N	ADD	336732	8720	0.939883	0.0434552	0.863146	1.02344	-1.42676	0.153649	.	0.813470261934744	1
ALCOPOLYNEU	KIR_3DS1	P	A	P	Y	ADD	336732	238	0.814205	0.144074	0.6139	1.07987	-1.42665	0.15368	.	0.813382648146363	1
RX_L01XX	KIR_2DL3	P	A	P	Y	ADD	336732	1286	0.853725	0.110859	0.686997	1.06092	-1.42655	0.15371	.	0.813297877434899	1
R18_SYMPTOMS_SIGNS_INVOLVI_SKIN_SUBCU_TISSUE	KIR_2DP1	P	A	P	N	ADD	336732	24449	0.930165	0.0507491	0.842097	1.02744	-1.42649	0.153727	.	0.813249848042211	1
GRAVES_OPHT	C1_2DL2	P	A	P	Y	ADD	336732	588	0.750215	0.201501	0.505438	1.11353	-1.42627	0.153789	.	0.813074727019286	1
AB1_HELMINTIASES	KIR_2DS2	P	A	P	Y	ADD	336732	431	1.14706	0.0962017	0.949943	1.38507	1.42615	0.153824	.	0.812975899551447	1
CD2_BENIGN_PANCREAS	KIR_2DS2	P	A	P	Y	ADD	336732	535	1.13001	0.0857024	0.95528	1.33669	1.42613	0.15383	.	0.812958959957672	1
VWXY20_EVIDE_ALCOHOL_INVOLVM_DETERM_BLOOD_ALCOHOL_LEVEL	KIR_3DS1	P	A	P	N	ADD	336732	379	0.853822	0.11083	0.687114	1.06098	-1.42591	0.153894	.	0.812778312057328	1
VWXY20_VAPAA_TAPATURMAT	KIR_2DS2	P	A	P	N	ADD	336732	5125	0.959166	0.0292466	0.90573	1.01575	-1.42551	0.15401	.	0.812451079138729	1
Z21_PERSONS_ENCOUNTERI_HEALTH_SERVI_SPECIFIC_PROCED_HEALTH_CARE	KIR_2DS2	P	A	P	N	ADD	336732	55392	1.01398	0.00973737	0.994809	1.03351	1.42546	0.154024	.	0.812411602180011	1
CD2_BENIGN_LIPO_SKIN_LIMBS	KIR_2DS1	P	A	P	Y	ADD	336732	2004	1.06905	0.0468403	0.975274	1.17184	1.42546	0.154025	.	0.812408782534553	1
COPD_EARLYANDLATER	KIR_2DP1	P	A	P	N	ADD	336732	16090	1.10093	0.0674628	0.964572	1.25656	1.42529	0.154072	.	0.812276279843467	1
E4_NONTOXIC_THYROID	KIR_2DS4	P	A	P	N	ADD	336732	8720	0.939954	0.0434604	0.863203	1.02353	-1.42485	0.154201	.	0.811912809857865	1
C3_SECONDARY_WITHOUT_SITESPEC	KIR_3DS1	P	A	P	Y	ADD	336732	851	0.899584	0.0743003	0.777673	1.04061	-1.42426	0.154372	.	0.811431469209088	1
Q17_CLEFT_PALATE_EXCLUDE	C1_2DL2	P	A	P	Y	ADD	336732	522	1.35469	0.213197	0.892002	2.05737	1.4239	0.154475	.	0.811141796113384	1
K11_CLEFT_SYNDR	KIR_2DL2	P	A	P	N	ADD	336732	847	1.10684	0.0713494	0.96239	1.27297	1.42267	0.154832	.	0.810139276294001	1
F5_READING	KIR_2DP1	P	A	P	Y	ADD	336732	397	0.6415	0.312086	0.347976	1.18262	-1.42251	0.154878	.	0.810010268213445	1
OPER_BSSRO	KIR_2DS4	P	A	P	Y	ADD	336732	888	0.837606	0.124575	0.656147	1.06925	-1.42249	0.154884	.	0.80999344389741	1
VWXY20_JAAMI_PURISTUK_TAI_MURSK_JOUTU_ESINEI_SISAAN_TAI_VALIIN	KIR_2DS1	P	A	P	Y	ADD	336732	1258	1.08684	0.0585537	0.969006	1.21901	1.42226	0.154952	.	0.809802813852848	1
G6_MIGRAINE_WITH_AURA_ADVERSE	KIR_2DS1	P	A	P	Y	ADD	336732	249	1.20326	0.130105	0.932423	1.55276	1.42218	0.154975	.	0.809738354976389	1
C3_SQUOMOUS_CELL_CARCINOMA_SKIN	KIR_3DL1	P	A	P	N	ADD	336732	3112	1.11714	0.0778945	0.958966	1.3014	1.42206	0.155009	.	0.80964308546284	1
VWXY20_EVIDE_ALCOHOL_INVOLVM_DETERM_BLOOD_ALCOHOL_LEVEL	KIR_2DL3	P	A	P	N	ADD	336732	379	0.758818	0.194085	0.518719	1.11005	-1.42202	0.155019	.	0.809615068994518	1
VWXY20_CONTACT_W_OTHER_HOT_METALS	KIR_3DS1	P	A	P	Y	ADD	336732	367	0.851275	0.113274	0.68179	1.06289	-1.42152	0.155167	.	0.809200636439862	1
CD2_BENIGN_APPENDIX	KIR_2DL3	P	A	P	Y	ADD	336732	232	1.61816	0.338575	0.833345	3.14207	1.42151	0.155169	.	0.809195038707315	1
VWXY20_CONTACT_W_MACHINERY	C1_2DL2	P	A	P	Y	ADD	336732	2781	1.13994	0.0921614	0.951553	1.36562	1.42113	0.155278	.	0.808890071350744	1
E4_NUTRIDEF	KIR_2DL3	P	A	P	N	ADD	336732	22718	1.04323	0.0297796	0.984078	1.10593	1.42101	0.155315	.	0.808786598987192	1
Z21_PERSONS_W_POTEN_HEALTH_HAZARDS_RELATED_FAMILY_PERSONAL_HISTORY_CERTA_CONDI_INFLUENCI_HEALTH_STATUS	KIR_2DS5	P	A	P	N	ADD	336732	52703	1.01577	0.011011	0.994082	1.03793	1.42088	0.15535	.	0.808688742409007	1
Q17_CONGEN_MALFO_URINARY_SYSTEM	KIR_2DL3	P	A	P	N	ADD	336732	1485	0.862304	0.104281	0.702904	1.05785	-1.42066	0.155417	.	0.808501478441222	1
C3_SQUOMOUS_CELL_CARCINOMA_SKIN	KIR_2DS4	P	A	P	N	ADD	336732	3112	1.11702	0.0778961	0.958857	1.30126	1.42062	0.155428	.	0.80847074132592	1
C3_BRONCHUS_LUNG	KIR_2DS3	P	A	P	N	ADD	336732	5932	0.953811	0.0332908	0.893563	1.01812	-1.4205	0.155461	.	0.808378543030344	1
RX_CROHN_1STLINE	KIR_2DL3	P	A	P	N	ADD	336732	72040	0.974814	0.0179585	0.9411	1.00974	-1.42039	0.155494	.	0.808286364303798	1
I9_IHD	KIR_2DS5	P	A	P	N	ADD	336732	56766	1.01657	0.0115727	0.993773	1.03989	1.42021	0.155546	.	0.808141152670122	1
OPER_BSSRO	KIR_3DL1	P	A	P	Y	ADD	336732	888	0.837875	0.124581	0.656351	1.0696	-1.41985	0.15565	.	0.807850874981466	1
CD2_BENIGN_MELANOCYTIC_SCALPNECK	KIR_2DP1	P	A	P	N	ADD	336732	619	1.83934	0.429438	0.792727	4.26777	1.41908	0.155876	.	0.807220747350842	1
Q17_CONGEN_MALFO_RESPI_SYSTEM	KIR_2DL2	P	A	P	N	ADD	336732	423	0.865066	0.102153	0.708103	1.05682	-1.41894	0.155916	.	0.80710931550287	1
Z21_TOBAC_USE	KIR_2DL5	P	A	P	Y	ADD	336732	1298	1.08923	0.0602879	0.967841	1.22585	1.41778	0.156256	.	0.806163297395971	1
L12_INFECT_SKIN	KIR_3DS1	P	A	P	N	ADD	336732	20807	1.02216	0.0154608	0.99165	1.05361	1.4176	0.156307	.	0.806021572247609	1
P16_INFECTIONS_SPECIFIC_PERINA_PERIOD	KIR_2DL2	P	A	P	Y	ADD	336732	310	1.18176	0.117809	0.938103	1.4887	1.4176	0.156309	.	0.806016015340965	1
K11_HERNIA	C1_2DL2	P	A	P	N	ADD	336732	50347	1.03497	0.0242447	0.986935	1.08533	1.41755	0.156322	.	0.805979897180782	1
CD2_BENIGN_SALIVARY_NOS	KIR_2DL1	P	A	P	N	ADD	336732	679	1.72723	0.385617	0.811172	3.6778	1.41726	0.156406	.	0.805746590682117	1
J10_COPDNAS_INCLAVO	KIR_2DL2	P	A	P	N	ADD	336732	19194	0.977913	0.0157636	0.948161	1.0086	-1.41687	0.156522	.	0.805424611426772	1
I9_CEREBVASC	Bw4_3DL1	P	A	P	N	ADD	336732	31571	1.08004	0.0543418	0.970917	1.20142	1.41684	0.156531	.	0.805399640253596	1
CD2_BENIGN_SKIN_SCALPNECK	KIR_2DP1	P	A	P	Y	ADD	336732	606	0.682186	0.270107	0.401779	1.15829	-1.41593	0.156796	.	0.804665020733761	1
COPD_HOSPITAL	KIR_2DL1	P	A	P	N	ADD	336732	15676	1.10154	0.0683359	0.96346	1.25942	1.41524	0.156998	.	0.804105880039787	1
C3_LUNG_NONSMALL	KIR_2DS3	P	A	P	N	ADD	336732	4613	0.948078	0.0376853	0.880575	1.02076	-1.41482	0.157121	.	0.803765765471714	1
F5_MENTRET	KIR_2DS3	P	A	P	N	ADD	336732	1195	1.10729	0.0720401	0.961482	1.27521	1.41472	0.157151	.	0.803682851088653	1
G6_CLUSTHEADACHE_WIDE_INCLAVO	KIR_3DS1	P	A	P	N	ADD	336732	1297	1.08865	0.0600499	0.967774	1.22462	1.41447	0.157223	.	0.803483921131063	1
C3_BASAL_CELL_CARCINOMA	KIR_2DL2	P	A	P	N	ADD	336732	17665	0.977027	0.0164421	0.946044	1.00903	-1.41349	0.157512	.	0.802686354031471	1
F5_PSYCHDEV	KIR_3DS1	P	A	P	N	ADD	336732	4114	0.950673	0.0357992	0.886255	1.01977	-1.41302	0.157651	.	0.802303270123152	1
ST19_TOXIC_EFFECT_ETHAN	KIR_3DS1	P	A	P	Y	ADD	336732	1161	0.914261	0.0634437	0.807359	1.03532	-1.4129	0.157686	.	0.802206863377803	1
RX_L02BB	KIR_3DL1	P	A	P	N	ADD	336732	2231	1.14078	0.093251	0.950228	1.36955	1.41248	0.157807	.	0.80187373627269	1
VWXY20_CONTACT_W_OTHER_HOT_METALS	KIR_2DP1	P	A	P	Y	ADD	336732	367	0.632232	0.32476	0.334533	1.19485	-1.41181	0.158006	.	0.801326421163197	1
Q17_CONGEN_MALFO_NERVOUS_SYSTEM	KIR_2DS3	P	A	P	Y	ADD	336732	590	1.14829	0.0979617	0.947693	1.39136	1.41154	0.158086	.	0.801106589220003	1
C3_EYE_BRAIN_NEURO	KIR_2DP1	P	A	P	N	ADD	336732	1083	1.49032	0.282725	0.856294	2.59379	1.41123	0.158177	.	0.800856665587179	1
CD2_BENIGN_OTHERDIGESTIVE	KIR_2DL2	P	A	P	N	ADD	336732	4751	1.04354	0.0302063	0.983549	1.10718	1.41082	0.158298	.	0.800524572152495	1
CD2_BENIGN_CONNECTIVE_SOFT	KIR_2DL5	P	A	P	N	ADD	336732	2676	1.06143	0.0422719	0.977035	1.15312	1.41035	0.158436	.	0.800146130669768	1
C3_COLON	KIR_2DS3	P	A	P	N	ADD	336732	4019	0.945352	0.0398507	0.874324	1.02215	-1.41022	0.158474	.	0.800041980025159	1
J10_ASTHMA_INCLAVO	KIR_2DL3	P	A	P	N	ADD	336732	52196	0.971913	0.0202047	0.934177	1.01117	-1.41002	0.158532	.	0.799883061391244	1
RX_L02BB	KIR_2DS4	P	A	P	N	ADD	336732	2231	1.14051	0.0932474	0.95001	1.36922	1.41	0.15854	.	0.79986114614262	1
